SALBRYNB,ROSETON,HQ_P1_P2,HQHIGATE,SHOREHAM,NORTHPORT
353,409.2,1357,0,-327,-147.9
316,591.5,1353,0,-220,-92.9
304,668.3,1229,0,-102,-46.4
256,543.3,1352,0,-100,-53.8
265,444.7,1196,0,-100,-49.1
150,344.1,1222,0,-113,-55.5
263,283.5,1355,0,-217,-118.6
190,518.0,1366,0,-222,-144.0
284,391.9,1366,0,-327,-148.8
299,615.4,1365,0,-329,-149.7
258,780.8,1462,0,-327,-101.3
314,787.8,1469,0,-224,-98.0
319,766.3,1467,0,-327,-104.0
302,818.7,1408,0,-328,-137.3
313,771.9,1406,0,-246,-106.2
344,768.7,1405,0,-233,-98.7
313,680.6,1409,0,-239,-89.8
326,750.2,1628,0,-136,-72.8
316,741.4,1711,0,-216,-98.0
327,735.8,1701,0,-207,-71.7
292,550.2,1681,0,-222,-79.0
317,634.6,1407,0,-327,-170.7
308,502.8,1406,0,-329,-180.0
310,90.3,1351,0,-329,-198.6
243,198.4,1241,0,-329,-195.9
270,375.9,1188,0,-329,-197.1
235,270.7,1189,0,-329,-158.0
218,230.1,1190,0,-329,-141.9
226,141.2,1187,0,-329,-90.5
256,116.8,1155,0,-329,-155.7
377,-46.7,1363,0,-329,-80.5
318,336.1,1574,0,-329,-155.4
296,487.3,1624,0,-329,-146.2
362,646.9,1699,0,-329,-206.8
352,749.4,1701,0,-329,-208.4
345,571.1,1701,0,-329,-200.3
354,682.4,1700,0,-329,-196.2
331,778.4,1701,0,-329,-203.5
329,706.9,1700,0,-329,-202.9
348,685.5,1704,0,-329,-207.1
361,644.9,1700,0,-329,-206.6
359,779.0,1699,0,-329,-198.4
349,555.0,1707,0,-329,-202.4
344,242.8,1701,0,-329,-218.3
342,602.0,1695,0,-329,-183.7
353,750.8,1570,0,-329,-203.0
384,594.6,1510,0,-329,-202.9
378,105.7,1438,0,-329,-184.0
309,35.4,1360,0,-327,-119.2
317,148.1,1355,0,-222,-48.7
315,167.1,1266,0,-222,-48.7
257,221.9,1270,0,-325,-29.7
166,292.4,1368,0,-247,-47.2
163,75.5,1180,0,-327,1.2
210,19.7,1559,0,-329,-0.0
302,243.6,1561,0,-329,-0.0
225,414.9,1563,0,-329,-0.0
241,523.4,1705,0,-330,-0.0
292,542.9,1730,0,-329,-0.0
293,342.1,1728,0,-329,-0.0
271,342.1,1729,0,-329,-0.0
267,384.2,1730,0,-329,-0.0
217,582.6,1728,0,-329,-0.0
215,612.5,1730,0,-329,-0.0
240,180.2,1729,0,-329,-0.0
237,295.6,1729,0,-329,-0.0
294,75.5,1729,0,-329,-0.0
325,208.0,1729,0,-329,-0.0
339,317.0,1724,0,-329,-0.0
246,53.4,1597,0,-329,-0.0
180,174.6,1593,0,-329,-0.0
269,35.7,1465,0,-329,-0.0
286,53.8,1384,0,-327,-0.0
270,172.7,1382,0,-182,-0.0
252,254.2,1382,0,-102,-0.0
255,305.9,1382,0,-100,-0.0
259,179.3,1379,0,-103,-0.0
198,37.5,1202,0,-220,-0.0
202,-11.5,1589,0,-327,-0.0
274,-39.4,1568,0,-329,-0.0
200,99.9,1569,0,-330,-0.0
149,318.9,1729,0,-330,-0.0
200,342.8,1753,0,-330,-0.0
183,409.9,1750,0,-330,-0.0
179,291.3,1752,0,-330,-0.0
215,311.1,1751,0,-330,-0.0
243,239.3,1752,0,-330,-0.0
229,270.0,1750,0,-330,-0.0
187,265.4,1748,0,-330,-0.0
198,405.5,1749,0,-330,-0.0
142,409.4,1748,0,-329,-0.0
127,205.6,1747,0,-329,-0.0
226,119.5,1693,0,-329,-0.0
245,129.0,1577,0,-329,-0.0
45,263.9,1571,0,-329,-0.0
226,147.7,1474,0,-329,-0.0
153,82.6,1398,0,-327,-0.0
71,386.9,1401,0,-222,-0.0
74,403.1,1451,0,-211,-0.0
77,345.5,1448,0,-219,-0.0
79,250.2,1445,0,-222,-0.0
95,156.7,1270,0,-326,-0.0
-73,135.2,1540,0,-329,-0.0
-60,54.6,1662,0,-329,-0.0
-93,216.8,1707,0,-329,-0.0
47,379.2,1706,0,-329,-0.0
-45,383.8,1707,0,-329,-0.0
19,267.0,1705,0,-329,-0.0
136,459.9,1706,0,-329,-0.0
148,370.2,1707,0,-329,-0.0
141,35.3,1706,0,-329,-0.0
190,-191.4,1709,0,-329,-0.0
90,245.4,1707,0,-329,-0.0
33,367.4,1706,0,-329,-0.0
12,594.2,1706,0,-329,-0.0
7,374.8,1705,0,-329,-0.0
92,496.0,1699,0,-329,-0.0
216,152.3,1599,0,-329,-0.0
102,600.5,1596,0,-329,-0.0
108,322.5,1536,0,-328,-0.0
195,429.0,1535,0,-327,-5.1
202,499.5,1537,0,-222,4.3
205,500.1,1535,0,-229,-10.1
202,401.0,1537,0,-229,118.8
132,271.2,1535,0,-229,145.4
-102,498.0,1541,0,-231,-114.1
-25,276.0,1676,0,-327,-133.6
-8,329.4,1755,0,-329,-124.9
46,494.7,1755,0,-329,-115.7
97,492.8,1754,0,-329,-130.3
99,339.1,1753,0,-329,-68.5
197,368.6,1753,0,-329,-103.8
225,378.8,1753,0,-329,-147.6
227,483.4,1750,0,-329,-114.2
210,319.3,1756,0,-329,-160.4
189,203.2,1756,0,-329,-114.6
149,351.3,1755,0,-329,-119.3
163,492.8,1755,0,-329,-44.5
167,631.6,1754,0,-329,7.0
183,151.5,1755,0,-329,-20.9
114,75.4,1699,0,-329,-78.7
88,6.7,1650,0,-329,-104.6
103,302.5,1647,0,-329,-92.5
160,128.2,1535,0,-329,-73.6
66,237.7,1528,0,-328,-74.1
166,300.6,1368,0,-271,-47.9
176,299.3,1368,0,-220,-44.8
170,359.7,1369,0,-199,-70.5
127,221.6,1367,0,-167,-62.6
13,87.3,1373,0,-326,-31.4
-35,50.0,1535,0,-328,-110.0
-61,286.4,1597,0,-329,-101.6
